Device : ;PAX1000IR2/M
Serial Number : ;M00773008
Firmware Version : ;1.2.1
Software Version : ;1.4.2002.183
Wavelength [nm] : ;1560
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-02-20 13:28:29.46;0.00:00:00:252;0.80;0.15;0.59;0.1935;0.1461;0.02786;0.1075;5.40;17.93;94.85;55.56;76.88;0.1935;0.1835;0.009961;-7.133;-7.363;-20.017;0.90;75.47;
2025-02-20 13:28:29.71;0.00:00:00:505;0.87;-0.01;0.48;0.1736;0.178;-0.002731;0.09864;-0.44;14.50;117.26;56.83;102.57;0.1736;0.2035;-0.02996;-7.606;-6.914;-99.990;0.94;91.59;
2025-02-20 13:28:29.96;0.00:00:00:750;0.88;0.12;0.46;0.1772;0.1765;0.02503;0.09197;4.04;13.64;113.20;51.90;100.60;0.1772;0.2006;-0.02339;-7.515;-6.977;-99.990;0.94;74.78;
2025-02-20 13:28:30.20;0.00:00:00:999;0.87;0.09;0.49;0.1955;0.156;0.01625;0.08845;2.97;14.71;92.12;45.25;80.25;0.1955;0.1801;0.01539;-7.089;-7.445;-18.126;0.93;79.59;
2025-02-20 13:28:30.45;0.00:00:01:249;0.83;-0.09;0.55;0.1794;0.1653;-0.01766;0.1102;-3.05;16.77;111.18;61.43;92.67;0.1794;0.1994;-0.02006;-7.463;-7.002;-99.990;0.91;99.11;
2025-02-20 13:28:30.71;0.00:00:01:504;0.87;0.07;0.49;0.1723;0.1764;0.01392;0.09988;2.26;14.72;117.94;57.97;102.71;0.1723;0.2032;-0.03091;-7.637;-6.921;-99.990;0.93;82.07;
2025-02-20 13:28:30.96;0.00:00:01:758;0.80;0.06;0.59;0.2079;0.1368;0.01011;0.1006;2.11;18.12;81.85;48.38;66.02;0.2079;0.1701;0.03773;-6.822;-7.692;-14.233;0.90;84.26;
2025-02-20 13:28:31.22;0.00:00:02:013;0.88;-0.10;0.46;0.1841;0.1708;-0.01956;0.08897;-3.27;13.68;105.16;48.34;93.39;0.1841;0.1936;-0.009497;-7.350;-7.132;-99.990;0.94;102.40;
2025-02-20 13:28:31.47;0.00:00:02:269;0.87;0.03;0.49;0.2041;0.1497;0.005879;0.08465;1.12;14.73;84.31;41.47;73.40;0.2041;0.1721;0.03203;-6.901;-7.643;-14.944;0.93;86.03;
2025-02-20 13:28:31.73;0.00:00:02:522;0.83;-0.06;0.56;0.2061;0.1421;-0.009516;0.09645;-1.92;17.06;83.45;46.80;69.09;0.2061;0.172;0.03412;-6.859;-7.645;-14.670;0.91;95.63;
2025-02-20 13:28:31.98;0.00:00:02:779;0.81;0.04;0.58;0.1751;0.1641;0.008651;0.118;1.51;17.84;115.51;67.38;93.82;0.1751;0.2023;-0.02716;-7.567;-6.941;-99.990;0.91;85.81;
2025-02-20 13:28:32.24;0.00:00:03:033;0.83;-0.03;0.56;0.2101;0.1395;-0.005775;0.09527;-1.19;17.16;80.45;45.35;66.45;0.2101;0.169;0.04107;-6.776;-7.721;-13.865;0.91;93.47;
2025-02-20 13:28:32.49;0.00:00:03:289;0.86;-0.13;0.49;0.1915;0.1619;-0.02407;0.09196;-4.23;14.66;98.05;48.02;85.48;0.1915;0.1878;0.003738;-7.178;-7.264;-24.273;0.93;104.67;
2025-02-20 13:28:32.75;0.00:00:03:542;0.86;0.12;0.50;0.1861;0.1617;0.02301;0.09444;4.05;15.01;101.42;50.76;87.81;0.1861;0.1887;-0.002643;-7.303;-7.242;-99.990;0.93;76.30;
2025-02-20 13:28:33.00;0.00:00:03:799;0.87;0.03;0.50;0.2065;0.1479;0.004977;0.08451;0.96;14.87;82.50;40.92;71.63;0.2065;0.1704;0.03615;-6.850;-7.686;-14.419;0.93;86.63;
2025-02-20 13:28:33.26;0.00:00:04:051;0.81;0.09;0.58;0.1741;0.1653;0.01844;0.1169;3.18;17.55;116.79;67.16;95.55;0.1741;0.2033;-0.02923;-7.592;-6.918;-99.990;0.91;81.04;
2025-02-20 13:28:33.51;0.00:00:04:306;0.80;0.17;0.57;0.1828;0.1558;0.03293;0.1114;5.97;17.49;106.32;60.96;87.11;0.1828;0.1943;-0.01155;-7.381;-7.115;-99.990;0.90;73.53;
2025-02-20 13:28:33.77;0.00:00:04:562;0.80;0.07;0.59;0.1783;0.1587;0.01346;0.1169;2.42;18.14;110.78;65.57;89.30;0.1783;0.1976;-0.01923;-7.488;-7.043;-99.990;0.90;83.43;
2025-02-20 13:28:34.02;0.00:00:04:816;0.81;0.09;0.59;0.2016;0.1407;0.01581;0.1025;3.20;17.95;86.74;50.86;70.27;0.2016;0.1748;0.02672;-6.956;-7.574;-15.732;0.90;81.23;
2025-02-20 13:28:34.28;0.00:00:05:072;0.79;0.01;0.62;0.202;0.1384;0.001642;0.1091;0.34;19.13;87.27;54.03;68.53;0.202;0.1763;0.02571;-6.947;-7.539;-15.899;0.89;89.14;
2025-02-20 13:28:34.53;0.00:00:05:326;0.86;0.10;0.50;0.1725;0.1741;0.02128;0.1019;3.48;15.08;117.64;59.10;101.72;0.1725;0.2029;-0.03042;-7.633;-6.928;-99.990;0.93;78.21;
2025-02-20 13:28:34.79;0.00:00:05:580;0.81;0.07;0.58;0.1993;0.1441;0.01313;0.1026;2.60;17.68;89.01;51.51;72.60;0.1993;0.1774;0.02189;-7.006;-7.511;-16.597;0.91;82.71;
2025-02-20 13:28:35.04;0.00:00:05:836;0.80;0.01;0.61;0.1751;0.1607;0.001742;0.1221;0.31;18.62;115.29;69.75;91.79;0.1751;0.2019;-0.02677;-7.567;-6.949;-99.990;0.90;89.18;
2025-02-20 13:28:35.30;0.00:00:06:092;0.79;0.20;0.58;0.1759;0.1593;0.04071;0.1156;7.17;17.55;114.30;65.73;93.51;0.1759;0.201;-0.02514;-7.548;-6.967;-99.990;0.90;70.60;
2025-02-20 13:28:35.55;0.00:00:06:347;0.74;0.08;0.67;0.1904;0.138;0.01524;0.1255;3.15;21.06;98.29;65.92;72.90;0.1904;0.1871;0.003258;-7.204;-7.279;-24.871;0.87;83.07;
2025-02-20 13:28:35.81;0.00:00:06:602;0.81;0.14;0.57;0.1984;0.1447;0.02424;0.1016;4.75;17.35;89.93;51.19;73.94;0.1984;0.1785;0.01998;-7.024;-7.485;-16.994;0.91;76.58;
2025-02-20 13:28:36.06;0.00:00:06:857;0.75;0.01;0.66;0.2017;0.1339;0.001948;0.1171;0.42;20.58;88.22;58.07;66.41;0.2017;0.178;0.02376;-6.953;-7.497;-16.241;0.88;89.05;
