column,missing_count,missing_pct,min,max,mean,std
normalized_s1,0,0.0,-1.0,1.0,0.06296412472031782,0.591423403298135
normalized_s2,0,0.0,-1.0,1.0,-0.019479662431730535,0.5698981493232447
normalized_s3,0,0.0,-1.0,1.0,-0.028101596266796768,0.565998001988421
s0_mw,1,4.220025370792529e-05,0.09761,0.2415,0.1853395479042712,0.00941157564708063
s1_mw,0,0.0,-0.2349,0.2405,0.01119710819054786,0.1096478247516048
s2_mw,0,0.0,-0.2198,0.2174,-0.003962398118566154,0.10560811230884763
s3_mw,0,0.0,-0.2017,0.2031,-0.0050201357996268224,0.10475037049041326
azimuth_deg,0,0.0,-90.0,90.0,-2.3750384781913323,50.386274942509154
ellipticity_deg,0,0.0,-44.98,44.97,-0.8207910943960597,19.066341976467378
dop_pct,0,0.0,58.56,173.7,100.0892861278482,6.368663862924582
docp_pct,0,0.0,0.0,121.94,49.0166775613655,28.15733895342009
dolp_pct,0,0.0,0.05,171.42,79.72596327987124,22.51057719240995
power_mw,0,0.0,0.09761,0.2415,0.18533955160120422,0.009411575381808942
pol_power_mw,0,0.0,0.1111,0.2417,0.18506855764596858,0.00801579063421269
unpol_power_mw,0,0.0,-0.1006,0.09792,0.0002709175699021292,0.011667013973226623
power_dbm,0,0.0,-10.105,-6.171,-7.325909682173008,0.22033164517161183
pol_power_dbm,0,0.0,-9.542,-6.168,-7.3307141375913965,0.1870445634690439
unpol_power_dbm,1121130,47.31197043956628,-74.358,-10.092,-23.39234881107612,5.394158014364525
power_split_ratio,0,0.0,0.0,1.0,0.5314885253290144,0.29572996245548966
phase_difference_deg,47,0.001983411924272489,-180.0,180.0,-3.0297980129194406,105.38116663088637
elapsed_time_sec,0,0.0,0.252,604809.853,302422.5166832512,174571.96116541524
sample_interval_sec,1,4.220025370792529e-05,0.24,0.96,0.25523129335814143,0.008582554927953838
